"Versie";"Habitattype";"Habitatsubtype";"Criterium";"Indicator";"Beoordeling";"Kwaliteitsniveau";"Belang";"BeoordelingID";"Combinatie";"VoorwaardeID";"Voorwaarde";"Referentiewaarde";"Operator";"Maximumwaarde";"AnalyseVariabele";"Eenheid";"TypeVariabele";"Invoertype";"Invoerwaarde";"TaxongroepId";"TaxongroepNaam";"Studiegroepnaam";"Studielijstnaam";"Studiewaarde";"SubAnalyseVariabele";"SubEenheid";"TypeSubVariabele";"SubReferentiewaarde";"SubOperator";"SubInvoertype";"SubInvoerwaarde"
"Versie 2.0";"1310";"1310_pol";"Vegetatie";"sleutelsoorten";"B: >= 10%";"1";"b";"1491";"1346";"1346";"bedekking sleutelsoorten";"10";">=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"330";"sleutelsoorten";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"1310";"1310_pol";"Vegetatie";"sleutelsoorten";"A: >= 10%";"2";"b";"1492";"1345";"1345";"bedekking sleutelsoorten";"10";">=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"330";"sleutelsoorten";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"1310";"1310_pol";"Vegetatie";"aandeel sleutelsoorten in de vegetatie";"A: >= 90% sleutelsoorten";"2";"b";"2129";"90";"90";"aandeel sleutelsoorten in de begroeide oppervlakte";"90";">=";"1,00";"aandeelKruidlaag";"%";"Percentage";NA;"NA";"330";"sleutelsoorten";"kruidlaag";"vegetatielaag";"kruidlaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"1310";"1310_pol";"Vegetatie";"aandeel sleutelsoorten in de vegetatie";"B: >= 90% sleutelsoorten";"1";"b";"2130";"89";"89";"aandeel sleutelsoorten in de begroeide oppervlakte";"90";">=";"1,00";"aandeelKruidlaag";"%";"Percentage";NA;"NA";"330";"sleutelsoorten";"kruidlaag";"vegetatielaag";"kruidlaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"1310";"1310_pol";"Vegetatie";"sleutelsoorten";">= 10% van de oppervlakte van de habitatvlek";"1";"b";"1738";"1337";"1337";"bedekking sleutelsoorten";"10";">=";"1,00";"bedekking";"%";"Percentage";NA;"NA";"331";"sleutelsoorten";NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"1310";"1310_pol";"Vegetatie";"aandeel sleutelsoorten in de vegetatie";">= 90% sleutelsoorten van het door hogere planten bedekte deel van de habitatvlek";"1";"b";"1739";"93";"93";"aandeel sleutelsoorten in de begroeide oppervlakte";"90";">=";"1,00";"aandeelKruidlaag";"%";"Percentage";NA;"NA";"331";"sleutelsoorten";"kruidlaag";"vegetatielaag";"kruidlaag";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"1310";"1310_zk";"Structuur";"bodemstructuur";"A: geen kunstmatige breuklijnen (geleidelijk reliëf)";"2";"zb";"1";"2134";"2134";"breuklijnen aanwezig";"0";"=";"1,00";"meting";NA;"Ja/nee";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"1310";"1310_zk";"Structuur";"bodemstructuur";"B: geen kunstmatige breuklijnen (geleidelijk reliëf)";"1";"zb";"2";"2133";"2133";"breuklijnen aanwezig";"0";"=";"1,00";"meting";NA;"Ja/nee";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"1310";"1310_zk";"Structuur";"dynamiek";"B: ruimte aanwezig voor elkaar in ruimte en tijd compenserende sedimentatie- en erosieprocessen";"1";"zb";"3";"2355";"2355";"intertidale ruimte aanwezig";"1";"=";"1,00";"meting";NA;"Ja/nee";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 2.0";"1310";"1310_zk";"Structuur";"dynamiek";"A: ruimte aanwezig voor elkaar in ruimte en tijd compenserende sedimentatie- en erosieprocessen";"2";"zb";"4";"2349";"2349";"intertidale ruimte aanwezig";"1";"=";"1,00";"meting";NA;"Ja/nee";NA;"NA";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
"Versie 3";"1310";"1310_zk";"Structuur";"schorklifvorming/breuksteenbestorting";"schorklif/breuksteenbestorting hooguit occasioneel aanwezig (habitattype gaat geleidelijk over in slik of habitattype 1330) OF: schorklif meer dan occasioneel aanwezig maar habitattype ontwikkelt zich voor (= lager dan) het klif";"1";"zb";"1771";"712 OR 2339";"712";"aanwezigheid schorklif/breuksteenbestorting";"WT";"<=";"1,00";"meting";NA;"Categorie";"BEHEERMONITORINGSSCHAAL2017";"B, B2, B4, B8, BR, D, D2, D4, D8, HB, HB2, HB4, HB8, HBR, KB, KB2, KB4, KB8, KBR, S, S2, S4, S8, SR, T, T2, T4, T8, TR, WT, WT2, WT4, WT8, WTR, ZS, ZS2, ZS4, ZS8, ZSR";NA;NA;NA;NA;"NA";NA;NA;NA;NA;NA;NA;"NA"
