"TaxongroepId";"TaxonsubgroepId";"Omschrijving";"Id";"NbnTaxonVersionKey";"WetNaam";"NedNaam";"TaxonType";"WetNaamKort"
"1";"1";"aanwezigheid Sierlijke Vetmuur_Zeevetmuur";"444";"INBSYS0000004166";"Sagina maritima G. Don";"Zeevetmuur";"Species";"Sagina maritima"
"1";"1";"aanwezigheid Sierlijke Vetmuur_Zeevetmuur";"1529";"NBNSYS0000003051";"Sagina nodosa (L.) Fenzl";"Sierlijke vetmuur";"Species";"Sagina nodosa"
"5";"5";"sleutelsoorten 3150 excl. Puntkroos";"337";"INBSYS0000003787";"Utricularia australis R. Brown";"Loos blaasjeskruid";"Species";"Utricularia australis"
"5";"5";"sleutelsoorten 3150 excl. Puntkroos";"502";"INBSYS0000004427";"Potamogeton zizii Koch ex Rothb";"Gegolfd fonteinkruid";"Species";"Potamogeton zizii"
"5";"5";"sleutelsoorten 3150 excl. Puntkroos";"1132";"NBNSYS0000002109";"Hydrocharis morsus-ranae L.";"Kikkerbeet";"Species";"Hydrocharis morsus-ranae"
"5";"5";"sleutelsoorten 3150 excl. Puntkroos";"1133";"NBNSYS0000002110";"Stratiotes aloides L.";"Krabbenscheer";"Species";"Stratiotes aloides"
"5";"5";"sleutelsoorten 3150 excl. Puntkroos";"1143";"NBNSYS0000002129";"Potamogeton nodosus Poiret";"Rivierfonteinkruid";"Species";"Potamogeton nodosus"
"5";"5";"sleutelsoorten 3150 excl. Puntkroos";"1144";"NBNSYS0000002130";"Potamogeton lucens L.";"Glanzig fonteinkruid";"Species";"Potamogeton lucens"
"5";"5";"sleutelsoorten 3150 excl. Puntkroos";"1146";"NBNSYS0000002133";"Potamogeton praelongus Wulfen";"Langstengelig fonteinkruid";"Species";"Potamogeton praelongus"
"5";"5";"sleutelsoorten 3150 excl. Puntkroos";"1147";"NBNSYS0000002134";"Potamogeton perfoliatus L.";"Doorgroeid fonteinkruid";"Species";"Potamogeton perfoliatus"
"5";"5";"sleutelsoorten 3150 excl. Puntkroos";"1151";"NBNSYS0000002143";"Potamogeton acutifolius Link";"Spits fonteinkruid";"Species";"Potamogeton acutifolius"
"5";"5";"sleutelsoorten 3150 excl. Puntkroos";"1762";"NBNSYS0000003607";"Myriophyllum verticillatum L.";"Kransvederkruid";"Species";"Myriophyllum verticillatum"
